Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7,Th8,FAR8,FRR8
-20,0.418350168,0.073643411,-35,0.412037037,0.093378608,-35,0.412962963,0.072530864,-30,0.415458937,0.092050209,-28,0.411616162,0.115146147,-28,0.406035665,0.110953058,-26,0.405092593,0.124193548,-131,0.408333333,0.083661417
-19,0.398148148,0.089147287,-34,0.398919753,0.096774194,-34,0.398888889,0.074074074,-29,0.392109501,0.09958159,-27,0.391835017,0.121346324,-27,0.390946502,0.119487909,-25,0.383101852,0.140322581,-130,0.405092593,0.083661417
-18,0.377946128,0.098837209,-33,0.382716049,0.096774194,-33,0.386296296,0.077160494,-28,0.373993559,0.105439331,-26,0.374579125,0.126660762,-26,0.374142661,0.12802276,-24,0.359953704,0.150806452,-129,0.400925926,0.083661417
-17,0.351010101,0.108527132,-32,0.369598765,0.100169779,-32,0.37,0.078703704,-27,0.355877617,0.109623431,-25,0.35016835,0.140832595,-25,0.355624143,0.135846373,-23,0.341049383,0.162903226,-128,0.397222222,0.084645669
-16,0.324074074,0.112403101,-31,0.354938272,0.103565365,-31,0.354074074,0.083333333,-26,0.330515298,0.116317992,-24,0.326599327,0.150575731,-24,0.331961591,0.150071124,-22,0.31558642,0.176612903,-127,0.394907407,0.086614173
-15,0.291245791,0.139534884,-30,0.339506173,0.112054329,-30,0.337777778,0.089506173,-25,0.316425121,0.132217573,-23,0.308080808,0.163861825,-23,0.310699588,0.157183499,-21,0.293209877,0.191935484,-126,0.39212963,0.087598425
-14,0.258417508,0.15503876,-29,0.327932099,0.120543294,-29,0.324074074,0.094135802,-24,0.298711755,0.145606695,-22,0.292929293,0.170062002,-22,0.28600823,0.175675676,-20,0.271219136,0.216129032,-125,0.388425926,0.087598425
-13,0.22979798,0.180232558,-28,0.310185185,0.137521222,-28,0.307407407,0.097993827,-23,0.28099839,0.155648536,-21,0.273569024,0.185119575,-21,0.262002743,0.199146515,-19,0.247299383,0.233870968,-124,0.385185185,0.088582677
-12,0.191919192,0.207364341,-27,0.296296296,0.144312394,-27,0.291481481,0.106481481,-22,0.265297907,0.169037657,-20,0.257996633,0.201062888,-20,0.239711934,0.220483642,-18,0.226466049,0.251612903,-123,0.38287037,0.088582677
-11,0.163299663,0.238372093,-26,0.286265432,0.151103565,-26,0.276666667,0.114969136,-21,0.250805153,0.187447699,-19,0.230639731,0.223206377,-19,0.21776406,0.243954481,-17,0.208333333,0.272580645,-122,0.378703704,0.089566929
-10,0.138047138,0.265503876,-25,0.268518519,0.15959253,-25,0.261111111,0.12808642,-20,0.233091787,0.208368201,-18,0.204545455,0.253321523,-18,0.196844993,0.26458037,-16,0.1875,0.301612903,-121,0.370833333,0.090551181
-9,0.113636364,0.329457364,-24,0.255401235,0.169779287,-24,0.243703704,0.136574074,-19,0.214573269,0.227615063,-17,0.181818182,0.271922055,-17,0.179698217,0.29658606,-15,0.164737654,0.329032258,-120,0.367592593,0.092519685
-8,0.085016835,0.401162791,-23,0.242283951,0.190152801,-23,0.229259259,0.150462963,-18,0.195249597,0.253556485,-16,0.162878788,0.287865368,-16,0.15569273,0.325035562,-14,0.143132716,0.362096774,-119,0.361574074,0.092519685
,,,-22,0.230709877,0.205432937,-22,0.215555556,0.160493827,-17,0.176328502,0.272803347,-15,0.144781145,0.314437555,-15,0.135802469,0.354196302,-13,0.125,0.397580645,-118,0.356944444,0.092519685
,,,-21,0.214506173,0.224108659,-21,0.20037037,0.180555556,-16,0.159017713,0.294560669,-14,0.125,0.341009743,-14,0.117969822,0.389046942,,,,-117,0.353240741,0.095472441
,,,-20,0.195987654,0.235993209,-20,0.182222222,0.199074074,-15,0.138486312,0.317991632,-13,0.10479798,0.366696191,-13,0.10048011,0.416785206,,,,-116,0.34537037,0.096456693
,,,-19,0.172067901,0.259762309,-19,0.168888889,0.219907407,-14,0.12037037,0.347280335,-12,0.085016835,0.3914969,,,,,,,-115,0.340740741,0.100393701
,,,-18,0.154320988,0.280135823,-18,0.150740741,0.24691358,-13,0.102254428,0.369037657,-11,0.070707071,0.421612046,,,,,,,-114,0.335648148,0.102362205
,,,-17,0.130401235,0.288624788,-17,0.132962963,0.271604938,-12,0.086956522,0.405020921,,,,,,,,,,-113,0.331481481,0.104330709
,,,-16,0.122685185,0.308998302,-16,0.116296296,0.299382716,,,,,,,,,,,,,-112,0.326851852,0.106299213
,,,-15,0.108796296,0.339558574,-15,0.100740741,0.328703704,,,,,,,,,,,,,-111,0.322685185,0.108267717
,,,-14,0.092592593,0.356536503,-14,0.086296296,0.349537037,,,,,,,,,,,,,-110,0.318055556,0.109251969
,,,-13,0.082561728,0.393887946,-13,0.074074074,0.384259259,,,,,,,,,,,,,-109,0.312962963,0.109251969
,,,-12,0.06712963,0.409168081,-12,0.061111111,0.415123457,,,,,,,,,,,,,-108,0.308796296,0.111220472
,,,,,,,,,,,,,,,,,,,,,-107,0.306018519,0.113188976
,,,,,,,,,,,,,,,,,,,,,-106,0.302314815,0.117125984
,,,,,,,,,,,,,,,,,,,,,-105,0.295833333,0.12007874
,,,,,,,,,,,,,,,,,,,,,-104,0.291666667,0.121062992
,,,,,,,,,,,,,,,,,,,,,-103,0.2875,0.122047244
,,,,,,,,,,,,,,,,,,,,,-102,0.282407407,0.123031496
,,,,,,,,,,,,,,,,,,,,,-101,0.27962963,0.124015748
,,,,,,,,,,,,,,,,,,,,,-100,0.275462963,0.12992126
,,,,,,,,,,,,,,,,,,,,,-99,0.270833333,0.133858268
,,,,,,,,,,,,,,,,,,,,,-98,0.266203704,0.13484252
,,,,,,,,,,,,,,,,,,,,,-97,0.262037037,0.136811024
,,,,,,,,,,,,,,,,,,,,,-96,0.256018519,0.138779528
,,,,,,,,,,,,,,,,,,,,,-95,0.250925926,0.142716535
,,,,,,,,,,,,,,,,,,,,,-94,0.246296296,0.147637795
,,,,,,,,,,,,,,,,,,,,,-93,0.242592593,0.153543307
,,,,,,,,,,,,,,,,,,,,,-92,0.234722222,0.154527559
,,,,,,,,,,,,,,,,,,,,,-91,0.229166667,0.156496063
,,,,,,,,,,,,,,,,,,,,,-90,0.224074074,0.161417323
,,,,,,,,,,,,,,,,,,,,,-89,0.22037037,0.166338583
,,,,,,,,,,,,,,,,,,,,,-88,0.216203704,0.173228346
,,,,,,,,,,,,,,,,,,,,,-87,0.2125,0.177165354
,,,,,,,,,,,,,,,,,,,,,-86,0.207407407,0.179133858
,,,,,,,,,,,,,,,,,,,,,-85,0.201388889,0.184055118
,,,,,,,,,,,,,,,,,,,,,-84,0.198611111,0.187007874
,,,,,,,,,,,,,,,,,,,,,-83,0.193518519,0.188976378
,,,,,,,,,,,,,,,,,,,,,-82,0.191666667,0.193897638
,,,,,,,,,,,,,,,,,,,,,-81,0.187037037,0.198818898
,,,,,,,,,,,,,,,,,,,,,-80,0.182407407,0.204724409
,,,,,,,,,,,,,,,,,,,,,-79,0.180555556,0.206692913
,,,,,,,,,,,,,,,,,,,,,-78,0.173611111,0.214566929
,,,,,,,,,,,,,,,,,,,,,-77,0.168518519,0.218503937
,,,,,,,,,,,,,,,,,,,,,-76,0.16712963,0.223425197
,,,,,,,,,,,,,,,,,,,,,-75,0.1625,0.231299213
,,,,,,,,,,,,,,,,,,,,,-74,0.158333333,0.236220472
,,,,,,,,,,,,,,,,,,,,,-73,0.15462963,0.24015748
,,,,,,,,,,,,,,,,,,,,,-72,0.148148148,0.247047244
,,,,,,,,,,,,,,,,,,,,,-71,0.143518519,0.249015748
,,,,,,,,,,,,,,,,,,,,,-70,0.141203704,0.25492126
,,,,,,,,,,,,,,,,,,,,,-69,0.139351852,0.257874016
,,,,,,,,,,,,,,,,,,,,,-68,0.137962963,0.261811024
,,,,,,,,,,,,,,,,,,,,,-67,0.134259259,0.265748031
,,,,,,,,,,,,,,,,,,,,,-66,0.130555556,0.268700787
,,,,,,,,,,,,,,,,,,,,,-65,0.127777778,0.280511811
,,,,,,,,,,,,,,,,,,,,,-64,0.125,0.288385827
,,,,,,,,,,,,,,,,,,,,,-63,0.119444444,0.294291339
,,,,,,,,,,,,,,,,,,,,,-62,0.113425926,0.302165354
,,,,,,,,,,,,,,,,,,,,,-61,0.108333333,0.308070866
,,,,,,,,,,,,,,,,,,,,,-60,0.105555556,0.312007874
,,,,,,,,,,,,,,,,,,,,,-59,0.101388889,0.318897638
,,,,,,,,,,,,,,,,,,,,,-58,0.096759259,0.325787402
,,,,,,,,,,,,,,,,,,,,,-57,0.090277778,0.337598425
,,,,,,,,,,,,,,,,,,,,,-56,0.087037037,0.343503937
,,,,,,,,,,,,,,,,,,,,,-55,0.083796296,0.354330709
,,,,,,,,,,,,,,,,,,,,,-54,0.080555556,0.361220472
,,,,,,,,,,,,,,,,,,,,,-53,0.075462963,0.369094488
,,,,,,,,,,,,,,,,,,,,,-52,0.072685185,0.37992126
,,,,,,,,,,,,,,,,,,,,,-51,0.07037037,0.393700787
,,,,,,,,,,,,,,,,,,,,,-50,0.06712963,0.403543307
